user_id,JSS_Basic,JSS_Evn,JSS
ISH0051,-0.796452311997,38.4648945772,-4.03878969227e+16,
TLK0003,-0.619195952565,37.6378276902,-1.37318479384e+16,
VSF0004,-0.542697366883,37.6378276902,-1.20353463031e+16,
KAM0005,-0.423346031842,37.6378276902,-9.38850344627e+15,
DMH0011,-0.366174674972,37.6378276902,-8.12061986965e+15,
ACH0008,-0.301609626613,37.6378276902,-6.68876712171e+15,
FMN0013,-0.179633452722,38.0996576629,-6.32205548304e+15,
BMB0007,-0.26392584279,37.6378276902,-5.8530575421e+15,
ODC0002,-0.167363003146,37.6378276902,-3.71159291366e+15,
AAB0398,-0.376451379595,36.6868185137,-3.2254605324e+15,
GKL0006,-0.0319556663391,37.6378276902,-7.08677679693e+14,
RPC0205,-0.323987894418,34.607900908,-3.47175586632e+14,
KJB0354,-0.0858971622401,35.0970801119,-1.50122932699e+14,
HZD0429,-0.358723600308,33.4685540697,-1.23017897282e+14,
MNC0433,-0.717439887261,15.8085067816,-5264204.84698,
MAL0434,-0.484494070541,15.8085067816,-3554968.26948,
NJM0440,-0.415742591003,14.886208363,-1212893.49508,
RLH0358,-0.673207613481,14.2812217946,-1072518.61607,
MAH0438,-0.280378647624,14.886208363,-817980.75353,
UMB0055,-0.385659015936,12.7725597851,-135911.349031,
MFL0355,-0.527136193503,12.1427572718,-98959.0037316,
TCB0061,-0.916537666416,11.1687938422,-64967.4547758,
OXS0363,-0.538282965432,11.5674555155,-56845.0609297,
BJS0053,-0.183399409984,12.5172376192,-50068.5668962,
BHM0430,-0.815097996239,10.8620162812,-42513.1767908,
WNR0091,-1.18582903617,10.3169668559,-35861.1205465,
HUM0431,-0.590268255983,10.858529353,-30679.5374499,
ALL0289,-0.285614487671,11.4584822486,-27048.0427784,
ACA0360,-0.0152661563984,14.2812217946,-24321.2295958,
SGW0443,-0.655789584521,10.3775752096,-21071.1463653,
KCO0287,-0.181507702357,11.4584822486,-17189.0023437,
DER0400,-0.415045800742,10.0074557833,-9210.40757401,
ARG0441,-0.261362702089,10.3775752096,-8397.83351267,
RAS0356,-0.361672815042,10.0500678968,-8375.38725596,
DCB0401,-0.11743435993,10.9661349199,-6797.15335668,
IIW0361,-0.0639285018938,11.5674555155,-6751.13243158,
GKN0168,-0.433395953416,9.45285382769,-5523.40778386,
