user_id,JSS_Basic,JSS_Evn,JSS
ZCS0012,0.906079146703,69.8036761448,-1.87291255762e+30,
CMS0010,0.481889783109,69.8036761448,-9.96091157663e+29,
SKK0282,0.450312250267,69.4785923276,-6.72485647573e+29,
BVC0009,0.128643797957,69.8036761448,-2.65913397885e+29,
FZM0318,0.245152578132,68.2042408329,-1.02367453759e+29,
ACS0128,0.124734051978,68.2412869741,-5.40504608767e+28,
DHK0367,0.00128762671888,68.1993923779,-5.35068961285e+26,
JDR0436,0.831491226983,31.0084548194,-2.43589459508e+13,
MCK0435,0.566943036588,31.0084548194,-1.66088761219e+13,
CMW0437,0.0600815369101,31.0084548194,-1.76011828236e+12,
KLG0439,0.707863214422,28.1730568889,-1.21717350187e+12,
HET0359,0.542961737955,27.9291105258,-731522708050.0,
SLC0017,0.668317477184,22.3151015081,-3283282610.71,
PNL0018,1.01592639144,20.3174157939,-677023599.744,
IHB0288,0.739905841096,20.6339890256,-676712235.3,
AGC0445,0.813341527585,20.474354874,-634121223.394,
SOD0442,0.235654602245,20.474354874,-183727966.182,
TND0324,0.763240774392,18.9476575654,-129278018.417,
ISM0130,0.574413627627,18.7804004048,-82309316.5267,
HJB0286,0.669905890698,18.6139259918,-81271661.3998,
SDW0370,0.403463332969,19.099461656,-79541701.0048,
KDC0444,0.092924859049,20.474354874,-72448809.3935,
CKM0405,0.639518068862,18.3766062647,-61194376.1642,
TCG0016,0.772363768245,17.8358239215,-43034998.7052,
PMG0284,0.199739545772,19.065863605,-38077060.3234,
SZG0325,0.211983991979,18.9476575654,-35905930.787,
SZB0321,0.599143535133,17.727603237,-29959263.4548,
TKO0417,0.363429071186,18.2128478517,-29522897.6253,
MDS0285,0.130165521079,19.0019547316,-23277698.7893,
JAF0209,0.239383333578,18.1562828867,-18376693.608,
AAM0138,0.199675855528,18.2299327845,-16500031.0857,
KEO0131,0.30926827006,17.7282083801,-15473851.6859,
ARB0208,0.864572267887,16.2606707687,-9970589.81951,
