user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,No-JobState-in-Team,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt-Less-A-mean,Dpt-Less-AC-mean,Dpt-less-C-mean,Dpt-High-N-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,No-JobState-in-Dpt,Job State,Leader_CPB-I,Leader_CPB-O
NFP2441,34.0,39.0,38.0,36.0,21.0,-14.5926,-19.37414,10,5,11,11,-13.068,-19.0652,1,-15.2161643836,-19.6182009132,112,49,99,116,-16.94,-19.206,24,18,-8.712,-23.4568,
ADR1517,36.0,39.0,13.0,19.0,27.0,-15.488,-19.0578666667,19,9,12,17,-16.214,-17.6846,2,-15.085989071,-20.0769967213,178,82,164,192,-16.94,-20.766,27,18,-19.844,-15.9316,
MWB4000,27.0,14.0,44.0,22.0,34.0,-14.6673043478,-20.4798782609,10,4,11,12,-15.488,-22.4032,3,-14.9136713092,-20.0452122563,171,94,173,180,-15.972,-20.9908,36,18,-12.1,-22.41,
MLS2856,35.0,49.0,22.0,45.0,28.0,-13.6972,-20.5917466667,12,8,18,18,-11.616,-21.4824,3,-14.9136713092,-20.0452122563,171,94,173,180,-15.972,-20.9908,36,18,-11.132,-23.6748,
BTR2026,15.0,15.0,41.0,39.0,27.0,-15.4638,-21.90182,7,5,10,8,-15.246,-22.3294,3,-14.7237894737,-19.6058453089,223,122,216,203,-15.488,-19.2832,52,18,-18.876,-10.9564,
ZCT1009,35.0,39.0,32.0,14.0,31.0,-15.8106666667,-20.0402666667,8,5,7,6,-16.94,-19.726,0,-15.8621349693,-20.013001227,80,35,63,91,-17.424,-20.9136,12,18,-21.296,-32.4944,
SEM1983,42.0,19.0,23.0,31.0,22.0,-14.036,-20.5044,4,4,6,3,-14.52,-22.628,1,-14.7237894737,-19.6058453089,223,122,216,203,-15.488,-19.2832,52,6,-21.296,-29.8944,
BDW1459,14.0,15.0,21.0,23.0,28.0,-14.4958,-19.37062,10,5,10,10,-15.972,-20.4708,0,-15.0006773455,-19.3487743707,237,116,191,226,-16.456,-18.0184,37,18,-6.292,-16.4788,
FAJ3101,40.0,50.0,43.0,18.0,28.0,-15.8752,-19.14128,12,5,9,7,-16.94,-18.426,0,-15.1524118993,-19.2582050343,240,122,203,228,-16.456,-18.5384,36,18,-21.296,-24.6944,
CLR1239,46.0,44.0,38.0,44.0,23.0,-15.488,-18.5552,10,5,7,9,-15.488,-16.1632,3,-15.0693251534,-19.7425153374,80,39,75,88,-16.456,-20.6184,17,9,-10.648,-13.1272,
LOP1708,20.0,23.0,38.0,42.0,33.0,-13.7133333333,-19.9553333333,7,5,8,7,-12.584,-20.9976,4,-14.597202454,-20.0100711656,81,42,80,76,-15.488,-20.3232,20,18,-21.78,-17.562,
GKK2422,42.0,39.0,47.0,10.0,37.0,-15.5848,-20.0060533333,6,2,6,7,-16.456,-22.6984,4,-15.2161643836,-19.6182009132,112,49,99,116,-16.94,-19.206,24,18,-18.392,-24.3288,
MYB3817,21.0,36.0,40.0,40.0,26.0,-14.0037333333,-19.8012266667,13,8,16,16,-12.826,-22.1114,1,-14.7453544974,-19.2933375661,99,50,92,105,-15.488,-18.2432,11,18,-16.94,-30.646,
JBO2839,40.0,47.0,21.0,19.0,28.0,-14.9072,-17.85808,13,8,10,15,-15.972,-17.8708,0,-14.9136713092,-20.0452122563,171,94,173,180,-15.972,-20.9908,36,18,-4.84,-14.476,
JTC0941,42.0,26.0,41.0,45.0,26.0,-16.1817333333,-19.1134266667,19,7,10,16,-18.15,-17.495,3,-15.1422857143,-19.6317396825,100,48,80,96,-16.94,-19.206,16,18,-8.712,-10.4568,
IKA2925,49.0,15.0,16.0,16.0,34.0,-13.5842666667,-21.8573066667,8,6,15,16,-14.036,-23.5204,5,-15.1422857143,-19.6317396825,100,48,80,96,-16.94,-19.206,16,18,-21.78,-18.082,
JSN1905,38.0,37.0,21.0,36.0,25.0,-16.1010666667,-21.8968266667,6,3,6,8,-17.908,-24.1812,1,-14.8681403509,-20.9232912281,50,22,51,63,-16.214,-22.1046,12,18,-20.328,-29.0792,
JRL2365,33.0,22.0,23.0,24.0,38.0,-16.5205333333,-20.9327466667,15,5,8,18,-18.15,-19.835,3,-14.7453544974,-19.2933375661,99,50,92,105,-15.488,-18.2432,11,18,-7.26,-12.094,
GJB0850,37.0,42.0,38.0,43.0,32.0,-14.1328,-20.50792,10,5,9,15,-16.214,-21.0646,0,-15.085989071,-20.0769967213,178,82,164,192,-16.94,-20.766,27,18,-16.94,-19.206,
LMD2804,17.0,42.0,34.0,42.0,35.0,-15.0201333333,-19.5911866667,16,5,13,21,-17.908,-20.0212,1,-15.085989071,-20.0769967213,178,82,164,192,-16.94,-20.766,27,18,-19.36,-18.904,
KMB3003,39.0,43.0,14.0,38.0,32.0,-17.1981333333,-21.5033866667,4,2,5,7,-19.36,-22.024,1,-14.7237894737,-19.6058453089,223,122,216,203,-15.488,-19.2832,52,18,-9.68,-27.392,
