user_id,JSS_Basic,JSS_Evn,JSS
PTS2487,19.0,0.271401477545,32.8433719266,
HHG1038,32.0,0.764100189016,39.5487939515,
WYC2416,38.0,0.842730921367,43.9762249881,
KAC2449,28.0,0.41479778108,44.3856621298,
BJM2491,26.0,0.266345155622,45.0750259538,
IMS2191,26.0,0.240784633394,45.7395995318,
ALL0289,44.0,0.958156956962,45.8410938937,
KMW0259,27.0,0.273480493949,46.6160266634,
CWR0043,38.0,0.732836809515,48.1522012384,
AKC3739,30.0,0.388653615316,48.3403915405,
BOH1751,39.0,0.746116468404,48.9014577322,
MBL2383,31.0,0.421373995193,48.937406149,
KCC2434,39.0,0.735763027859,49.3052419135,
HMC0592,32.0,0.455591489703,49.4210723295,
ZDH2905,30.0,0.32899392521,50.1301822437,
CCG1025,46.0,0.907556192123,50.2524151623,
TBM3829,29.0,0.206759857493,52.0039641327,
GRA0329,49.0,0.935354406416,52.1676340856,
AGB3303,34.0,0.45400739044,52.563748725,
IEG2687,32.0,0.354111038526,52.6684467672,
HUM0431,50.0,0.94270562975,52.8647185125,
RHF0046,43.0,0.732434707104,54.5053075945,
MNC0433,53.0,0.971358284651,54.5180109135,
ELB0033,52.0,0.925914679853,55.8524366476,
BBC3733,35.0,0.386324312264,56.4786490708,
VDH0766,38.0,0.507586468113,56.7117142117,
PLJ1771,45.0,0.734432994252,56.9505152587,
OXS0363,55.0,0.957620869691,57.330852167,
WNR0091,55.0,0.950879439635,57.7016308201,
MAH0438,56.0,0.965587228055,57.9271152289,
ISH0051,58.0,1.0,58.0,
JPF1296,39.0,0.508644188761,58.1628766383,
TTR0045,46.0,0.733268374539,58.2696547712,
JKC2754,32.0,0.143957722448,59.3933528817,
ACH1910,40.0,0.499740163431,60.0103934628,
LSL0337,41.0,0.535945263143,60.0262442111,
EGP2104,40.0,0.498300899019,60.0679640392,
CMD0613,38.0,0.418369544399,60.1019573128,
DWC2994,56.0,0.922227805309,60.3552429027,
LJH2619,45.0,0.65806372388,60.3871324254,
RVV0317,57.0,0.935302471004,60.6877591528,
HMB0805,41.0,0.515803862544,60.8520416357,
RHR2835,39.0,0.439321122199,60.8664762342,
ISR0021,58.0,0.940645347664,61.4425698355,
NEB0371,58.0,0.936952165135,61.6567744222,
YLL0795,37.0,0.324378625956,61.9979908396,
UMB0055,60.0,0.965156440551,62.0906135669,
GMM0224,58.0,0.928479719662,62.1481762596,
NLP0155,37.0,0.319890175069,62.1640635225,
DHG0533,32.0,0.057145822749,62.171333672,
BPN3051,49.0,0.724789159239,62.4853311973,
AAB0398,62.0,0.990077925887,62.615168595,
GIT2266,33.0,0.0836079572289,63.2409374114,
QGS3009,41.0,0.454032147334,63.3846819593,
BHM0430,60.0,0.943314400975,63.4011359415,
MMA1255,41.0,0.431813641611,64.295640694,
HSH0292,61.0,0.942821684729,64.4878772316,
JSN0214,61.0,0.932112366555,65.1411456401,
COW3840,62.0,0.945273260826,65.3930578288,
TCB0061,63.0,0.957277090627,65.6915432905,
JGN1767,52.0,0.734803086158,65.7902395198,
MAL0434,64.0,0.971358284651,65.8330697824,
WAH3836,44.0,0.488564602109,66.5031575072,
AFH1757,53.0,0.744672109784,66.5323781814,
ZAP1762,52.0,0.704178158351,67.3827357658,
TSL2699,39.0,0.254190007055,68.0865897248,
LAH3026,58.0,0.825025497039,68.1485211718,
BJG0662,40.0,0.289685571549,68.412577138,
BRS0333,45.0,0.479156783582,68.4379447388,
MCS0512,46.0,0.509605074779,68.5581665601,
ETM2542,37.0,0.140417710057,68.8045447279,
REF3266,45.0,0.470067814106,68.8469483652,
TDV1034,56.0,0.76814762574,68.9837329585,
HIP0148,43.0,0.395114490194,69.0100769217,
SJL3355,45.0,0.46283256149,69.172534733,
VSF0004,69.0,0.995532721052,69.3082422474,
HSS3959,46.0,0.488013535816,69.5513773525,
RGP0451,57.0,0.778514856508,69.6246531791,
SDM3560,38.0,0.164138531776,69.7627357925,
JCC0059,66.0,0.937822220798,70.1037334273,
TTL3088,46.0,0.469096527833,70.4215597197,
RLH0358,68.0,0.963610421641,70.4744913284,
JSG3377,46.0,0.462851208003,70.7088444319,
IMS0862,42.0,0.315120557193,70.7649365979,
APP2488,41.0,0.273988766448,70.7664605756,
MCC0856,42.0,0.314946365377,70.7722526541,
MNN1167,39.0,0.181303930041,70.9291467284,
MCW3493,60.0,0.815113915191,71.0931650886,
JLM3847,65.0,0.896027876564,71.7581880233,
KCO0287,69.0,0.958156956962,71.8871699696,
TNS1233,43.0,0.323210931189,72.1019299589,
CAC0147,68.0,0.935691938895,72.3729481551,
LRT0447,66.0,0.903366738346,72.3777952691,
RJG3325,40.0,0.18764066167,72.4943735332,
ANC1319,39.0,0.135261318248,72.7248085883,
HZD0429,71.0,0.971918665609,72.9937747417,
RHM3909,49.0,0.510273351174,72.9966057925,
KQD0274,42.0,0.261885608101,73.0008044598,
BWW1159,49.0,0.508550224982,73.0810389759,
MJK0037,60.0,0.779614978295,73.2231013023,
DER0400,70.0,0.953425010942,73.2602492341,
YCL0650,38.0,0.0660082775171,73.4916854544,
JRA0522,38.0,0.0578825258088,73.8004640193,
BDJ3001,46.0,0.392604837908,73.9401774562,
DWB3085,45.0,0.355944436174,73.9825003722,
JSB2942,43.0,0.277406659228,74.0715136532,
KNC3843,69.0,0.920592144123,74.4791420555,
MGB0326,70.0,0.935354406416,74.5251915509,
LGJ2710,43.0,0.260813127271,74.7850355273,
DMD0486,44.0,0.298699258003,74.8572326479,
MNS1394,47.0,0.404741865367,74.9771323277,
DIW1749,60.0,0.749156818802,75.0505908719,
LCP0572,43.0,0.254475524257,75.057552457,
QJF3038,59.0,0.711597736279,76.0157335595,
CBC0952,46.0,0.347234642826,76.02720643,
UYW1162,51.0,0.509001922566,76.0409019491,
RPG0403,73.0,0.954451504396,76.3250401791,
QIT3029,65.0,0.824903956581,76.3812428222,
RSV3166,40.0,0.0901111249842,76.3955550006,
FFP3169,40.0,0.0891420607131,76.4343175715,
FGK1026,70.0,0.907592460184,76.4685277871,
ADB0350,72.0,0.936182365693,76.5948696701,
NSB1016,42.0,0.17368170889,76.7053682266,
APH2985,46.0,0.331037144226,76.7722913656,
JCC1381,50.0,0.463641928585,76.8179035707,
BYS3626,51.0,0.493110641583,76.8513572793,
FTF1665,44.0,0.252216212662,76.9024866429,
TBM0932,40.0,0.0720994887974,77.1160204481,
MGG0080,49.0,0.422899723027,77.2779135717,
BMB0007,77.0,0.995532721052,77.343980479,
JBW0109,46.0,0.317018855287,77.4171326568,
PIP3915,52.0,0.510543036753,77.4517620889,
ACR0331,73.0,0.935354406416,77.7191283316,
YKW1763,60.0,0.700806608474,77.9516034916,
GKL0006,78.0,0.995532721052,78.348447758,
ARC3034,66.0,0.812861929415,78.3511126586,
VIB2070,51.0,0.461950148392,78.440542432,
BJW2134,51.0,0.460058163795,78.5370336465,
BRH1107,52.0,0.489313900806,78.5556771581,
KKB2094,48.0,0.363299184898,78.5616391249,
CAS1702,45.0,0.251964237427,78.6616093158,
FGS3275,43.0,0.170635519688,78.6626726534,
JDM1042,64.0,0.768069123786,78.8435760777,
GKN0168,75.0,0.945937127936,79.0547154048,
AKC1929,58.0,0.636109582192,79.1056442329,
IIW0361,76.0,0.957620869691,79.2208139035,
RCL0068,75.0,0.942719269863,79.2960547603,
KNS2828,51.0,0.442008900867,79.4575460558,
KTL2843,51.0,0.439192311451,79.601192116,
DKR0027,75.0,0.936195677122,79.7853242158,
SMO0458,63.0,0.733407637253,79.7953188531,
KEF0629,50.0,0.399871799743,80.0064100128,
STR3896,49.0,0.364492209314,80.1398817436,
AAS2987,48.0,0.329913425674,80.1641555677,
WEV2867,48.0,0.327655348185,80.2725432871,
ZBW0132,77.0,0.95244961013,80.66138002,
KOM1306,44.0,0.166611738672,80.6690834984,
SSF3031,67.0,0.794342171893,80.7790744832,
RBG3850,68.0,0.811701568078,80.8042933707,
MTM1434,55.0,0.529534108458,80.8756240348,
CAS3022,67.0,0.792532983961,80.9002900746,
TKS3035,67.0,0.792024715596,80.9343440551,
INR0927,42.0,0.0726425790944,80.949011678,
NSM1464,45.0,0.196450767963,81.1597154417,
KAG0689,47.0,0.273095441469,81.164514251,
DAT1981,54.0,0.49652611664,81.1875897014,
NSC0237,51.0,0.405088224393,81.3405005559,
ACH0008,81.0,0.995532721052,81.3618495948,
KAM0005,81.0,0.995532721052,81.3618495948,
BDW1459,45.0,0.191734650562,81.3719407247,
SAM2567,52.0,0.432569525014,81.5063846993,
NWH2076,48.0,0.301195255878,81.5426277178,
LKH2512,61.0,0.662731068488,81.5734048222,
TAM2031,55.0,0.513255797885,81.7709311163,
DKF2721,47.0,0.260103266375,81.7751464804,
JBL2993,49.0,0.329703097202,81.8445482371,
CMM1068,51.0,0.393316759869,81.9408452467,
FCB0563,47.0,0.251968113489,82.157498666,
ACH1405,55.0,0.505991063401,82.1704915129,
PDK3856,68.0,0.791424681067,82.1831216875,
NTE3084,50.0,0.354759732088,82.2620133956,
KPO3619,56.0,0.528620409386,82.3972570744,
KHP1043,67.0,0.768871620331,82.4856014378,
PCS1747,66.0,0.748371367494,82.6074897454,
DTT1716,59.0,0.59979006234,82.6123863219,
NHM1805,60.0,0.623036706559,82.6177976065,
VFM3223,54.0,0.468871779743,82.6809238939,
CAB3121,52.0,0.408585156467,82.7535718637,
TPM0039,68.0,0.78266183329,82.7789953363,
TNR0319,79.0,0.951712280273,82.8147298585,
NCT3492,70.0,0.816472269295,82.8469411494,
MSP3845,75.0,0.894900412939,82.8824690295,
NHY0685,48.0,0.272984403384,82.8967486375,
SHM2429,64.0,0.703618176798,82.968436685,
DMS1977,51.0,0.37248068266,83.0034851843,
MLP3859,71.0,0.827086406192,83.2768651604,
MEM1745,66.0,0.738219210833,83.277532085,
SVA1742,77.0,0.918440355388,83.2800926351,
JLA0030,75.0,0.88910787146,83.3169096405,
KCM1858,56.0,0.509078082951,83.4916273547,
JLW2924,50.0,0.329548576866,83.5225711567,
CST2863,50.0,0.328708485001,83.5645757499,
NGS2820,49.0,0.290836899006,83.7489919487,
AZB1225,50.0,0.321876205234,83.9061897383,
BJE0351,79.0,0.936182365693,84.0415931103,
LQC3780,52.0,0.381487440751,84.1626530809,
MNB3094,55.0,0.469762511046,84.1630618924,
BEW1426,51.0,0.349352659781,84.1830143512,
SAV3457,47.0,0.208666176373,84.1926897105,
CJS1986,55.0,0.465053654994,84.4220489753,
ARG0441,81.0,0.957175633254,84.4687737064,
GIB0207,80.0,0.943765266946,84.4987786443,
SKM1369,51.0,0.341917760338,84.5621942227,
DSB0245,80.0,0.942784960404,84.5772031677,
DRF3306,55.0,0.456099052283,84.9145521244,
ASM3925,57.0,0.509353509056,84.9668499838,
CDM2075,50.0,0.300126673333,84.9936663333,
BRM0843,58.0,0.528693227886,85.3357927826,
ODC0002,85.0,0.995532721052,85.3797187106,
LJE2413,73.0,0.830089106599,85.4034952182,
KCD0181,50.0,0.288901690858,85.5549154571,
CLM1874,45.0,0.0970678527719,85.6319466253,
RBH3142,52.0,0.35245894414,85.6721349047,
QCD0386,81.0,0.942223484119,85.6798977864,
NHH1704,77.0,0.885094337488,85.8477360134,
BJS0053,83.0,0.964819270369,85.9200005594,
RCF0054,83.0,0.964175769915,85.973411097,
MRS1520,48.0,0.208123822012,86.0100565434,
RAS0356,82.0,0.949236245975,86.1626278301,
CIS3471,75.0,0.848231500359,86.3826374731,
TLK0003,86.0,0.995532721052,86.3841859895,
ZDC2523,44.0,0.0346578388654,86.4750550899,
SLB3039,68.0,0.724670617871,86.7223979847,
BBH3587,53.0,0.362163105021,86.8053554339,
CTH3020,82.0,0.941239956339,86.8183235802,
CNC1177,47.0,0.150881341218,86.9085769628,
DSM1286,54.0,0.389676881368,86.9574484061,
NMW0896,52.0,0.326695876685,87.0118144124,
PKH0730,52.0,0.325661990106,87.0655765145,
ZLG3090,57.0,0.472426443904,87.0716926975,
QMV2796,52.0,0.325478402611,87.0751230642,
SKP3263,57.0,0.471991332095,87.0964940706,
APD0381,53.0,0.356028805643,87.1304733009,
CNW2408,82.0,0.936936277881,87.1712252137,
HZM3056,54.0,0.38387290809,87.2708629631,
AJB1380,58.0,0.495180331291,87.2795407851,
CGB3928,56.0,0.441377873059,87.2828391087,
DKW1659,49.0,0.216111451834,87.4105388601,
ABM3776,54.0,0.380057506757,87.4768946351,
ISS0949,53.0,0.345388980729,87.6943840214,
HIS1706,68.0,0.70856204047,87.817781248,
BHK2196,50.0,0.243540611785,87.8229694107,
TCH2233,50.0,0.242413345268,87.8793327366,
NSC3036,69.0,0.725938896183,87.9102161633,
AVV2056,63.0,0.603930076131,87.9524052037,
EIR1046,67.0,0.6857602236,88.0540650188,
CBJ0683,59.0,0.506538924487,88.1142034553,
KAD0884,59.0,0.50408764143,88.2588291556,
WNC0874,59.0,0.504057442252,88.2606109071,
JBB0847,60.0,0.528451136507,88.2929318096,
ESH1283,55.0,0.394051261976,88.3271805913,
CSB2910,53.0,0.330132059004,88.5030008728,
REC0283,85.0,0.958304394513,88.5441264664,
LWB2851,53.0,0.32805175782,88.6132568355,
AHD2457,56.0,0.417300802889,88.6311550382,
UCW2995,73.0,0.785321886732,88.6715022686,
RAB0455,73.0,0.781012622075,88.9860785885,
KPS3882,54.0,0.348428536704,89.184859018,
JSB0320,85.0,0.950363864471,89.21907152,
JOA0305,53.0,0.315787048509,89.263286429,
ASS0280,54.0,0.341729106519,89.546628248,
HCB1383,59.0,0.482211847598,89.5495009917,
ABH2671,57.0,0.428702158336,89.5639769748,
SAP2173,51.0,0.24367395604,89.572628242,
LCW0047,70.0,0.719962872137,89.6025989504,
BJH3294,49.0,0.170346896748,89.6530020593,
VRJ0636,60.0,0.500455221265,89.9726867241,
MJP2421,78.0,0.8454930253,90.0515440266,
JIM2988,53.0,0.298858537379,90.1604975189,
WTG2109,60.0,0.497259400363,90.1644359782,
LAR0625,57.0,0.416281809406,90.2719368638,
MWK3854,76.0,0.812062052327,90.2832840232,
ZJA2373,84.0,0.92270480915,90.4927960314,
DLM2440,71.0,0.721478225574,90.7750459842,
CCT2165,56.0,0.378430466536,90.807893874,
ASG0072,57.0,0.406006778733,90.8576136122,
MAP0215,86.0,0.943472757153,90.8613428849,
BUS2399,57.0,0.405169618267,90.9053317588,
DBR1798,67.0,0.641529750345,91.0175067269,
MFL0355,87.0,0.952075995701,91.169388374,
CDW2000,48.0,0.100399866393,91.1808064131,
SAS1098,59.0,0.454022667693,91.2126626061,
NPK0369,87.0,0.949982698925,91.3515051936,
JAW3813,51.0,0.208745281773,91.3539906296,
KMC2028,60.0,0.477060874074,91.3763475556,
GCL1782,61.0,0.501967476642,91.3799839248,
RJB1424,56.0,0.367347805372,91.4285228992,
NHD2497,52.0,0.241325620566,91.4510677305,
AKL1305,50.0,0.169405483152,91.5297258424,
KNH0316,86.0,0.935302471004,91.5639874937,
HMV2340,48.0,0.0902899663248,91.6660816164,
BBH3779,56.0,0.363080578686,91.6674875936,
AYP3586,56.0,0.359924304875,91.844238927,
RAA3570,50.0,0.163024391385,91.8487804308,
RPC0205,90.0,0.978945996577,91.894860308,
CHY0083,58.0,0.415218287951,91.9173392989,
WXM3698,54.0,0.297771795863,91.9203230234,
XSR3526,50.0,0.159170669402,92.0414665299,
KJP1326,51.0,0.193896348585,92.1112862222,
LLS0222,86.0,0.928479719662,92.1507441091,
LIG2813,54.0,0.292628706906,92.1980498271,
FSM0056,87.0,0.937822220798,92.4094667905,
EUC1051,71.0,0.696269143152,92.5648908362,
ALB2395,47.0,0.0301278093063,92.5839929626,
YSH0145,87.0,0.935691938895,92.5948013161,
MCS3301,60.0,0.456549062043,92.6070562774,
WAJ2412,79.0,0.827067091673,92.6616997578,
ECB1683,53.0,0.250585058779,92.7189918847,
SGW0443,89.0,0.957175633254,92.8113686404,
SKF2105,62.0,0.500117544812,92.9927122217,
IRT2811,55.0,0.307976297142,93.0613036572,
HDC0789,54.0,0.276208920879,93.0847182725,
ACA0360,90.0,0.963610421641,93.2750620523,
VTB2147,62.0,0.495391720177,93.285713349,
RBB0585,56.0,0.333411622214,93.328949156,
DMH0011,93.0,0.995532721052,93.4154569422,
GJS0160,59.0,0.414974433423,93.5165084281,
CSP3434,59.0,0.414424871353,93.5489325902,
GDY2724,68.0,0.623225229291,93.6206844082,
DBT0141,60.0,0.439598748991,93.6240750605,
KJB0354,92.0,0.981728387578,93.6809883428,
DAH2506,70.0,0.661080346105,93.7243757726,
SBW3023,79.0,0.81291581599,93.7796505368,
RAC0362,90.0,0.957620869691,93.8141217278,
IRS1337,52.0,0.194773978189,93.8717531342,
NDB0517,63.0,0.509371986787,93.9095648324,
ETG2821,56.0,0.322663552098,93.9308410825,
KLD2255,49.0,0.0829585552651,93.935030792,
SNV2423,79.0,0.809992658821,94.0105799531,
VAS3984,59.0,0.406430584207,94.0205955318,
IMP0960,57.0,0.349387053336,94.0849379598,
TZM0239,59.0,0.405284133243,94.0882361387,
