Team is 
1 - BuildingSecurity
1 - Lab
1 - Medical
1 - Publications
1 - RegionalFieldService
1 - RegionalSales
1 - SQA
1 - Stockroom
10 - AssemblyDept
10 - ElectronicSecurity
10 - SystemsEngineering
10 - WebSoftware
11 - BuildingSecurity
11 - Stockroom
11 - TestAndEvalualtion
12 - AssemblyDept
12 - BuildingSecurity
12 - MechanicalEngineering
13 - ElectricalEngineering
13 - Stockroom
14 - AssemblyDept
14 - MaterialsEngineering
15 - SystemsEngineering
16 - TestAndEvalualtion
17 - MechanicalEngineering
18 - ElectricalEngineering
19 - MaterialsEngineering
2 - AssemblyDept
2 - DesktopSoftware
2 - ElectronicSecurity
2 - Lab
2 - MechanicalEngineering
2 - Medical
2 - RegionalFieldService
2 - RegionalSales
20 - SystemsEngineering
21 - TestAndEvalualtion
22 - MechanicalEngineering
23 - ElectricalEngineering
24 - SystemsEngineering
25 - SystemsEngineering
3 - BuildingSecurity
3 - ElectricalEngineering
3 - EmbeddedSoftware
3 - Lab
3 - Medical
3 - RegionalFieldService
3 - RegionalSales
3 - Stockroom
4 - AssemblyDept
4 - ElectronicSecurity
4 - Lab
4 - MaterialsEngineering
4 - Medical
4 - RegionalFieldService
4 - RegionalSales
4 - WebSoftware
5 - BuildingSecurity
5 - DesktopSoftware
5 - Lab
5 - Medical
5 - RegionalFieldService
5 - RegionalSales
5 - Stockroom
5 - SystemsEngineering
6 - AssemblyDept
6 - ElectronicSecurity
6 - EmbeddedSoftware
6 - Lab
6 - Medical
6 - RegionalFieldService
6 - RegionalSales
6 - TestAndEvalualtion
7 - BuildingSecurity
7 - Lab
7 - MechanicalEngineering
7 - Medical
7 - RegionalFieldService
7 - RegionalSales
7 - Stockroom
7 - WebSoftware
8 - AssemblyDept
8 - DesktopSoftware
8 - ElectricalEngineering
8 - ElectronicSecurity
9 - BuildingSecurity
9 - MaterialsEngineering
9 - Stockroom
9 - WebSoftware
Free-tm
