NFP2441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
ADR1517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MWB4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MLS2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
BTR2026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
ZCT1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
SEM1983,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
BDW1459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
FAJ3101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
CLR1239,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
LOP1708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
GKK2422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MYB3817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
JBO2839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
JTC0941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IKA2925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
JSN1905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
JRL2365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
GJB0850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
LMD2804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
KMB3003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
LWV1525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RBB3867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
ARF0575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
WSC2981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
HKT1778,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MAS3218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,
MJG2304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
CCH1508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
HDN2609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
