CEL0561,0,1,1,0,0,2,12.0
CRD0624,0,1,1,0,0,2,12.0
JFC0557,0,1,1,0,0,2,12.0
ASD0577,0,1,0,0,0,1,8.0
MAR0955,1,1,0,0,0,2,24.0
GRM0868,0,1,1,1,0,3,14.0
AAL0706,0,1,0,1,0,2,10.0
RVC0232,1,1,1,1,0,4,30.0
TCD0009,1,0,1,0,0,2,20.0
ASM0575,0,1,0,0,0,1,8.0
DAR0885,1,1,1,0,0,3,28.0
JLM0364,0,1,1,1,0,3,14.0
FOB0756,1,1,1,0,0,3,28.0
GCG0951,0,1,0,0,0,1,8.0
HWY0038,1,1,1,0,0,3,28.0
AAV0450,0,1,0,1,0,2,10.0
CJV0286,0,1,1,0,0,2,12.0
TDG0962,1,1,0,0,0,2,24.0
SVL0803,0,1,1,0,0,2,12.0
QOS0878,0,1,1,1,0,3,14.0
MDM0625,1,1,1,0,0,3,28.0
GMF0738,1,1,1,0,0,3,28.0
BER0314,0,1,1,0,0,2,12.0
AMR0400,0,1,1,0,0,2,12.0
YCE0983,0,0,1,1,0,2,6.0
BJW0619,0,1,1,0,0,2,12.0
DPS0262,0,1,1,0,0,2,12.0
TYB0779,0,1,1,0,0,2,12.0
MAS0025,0,0,1,1,0,2,6.0
KBL0260,0,1,1,0,0,2,12.0
GHL0460,0,1,0,1,0,2,10.0
FMG0527,1,1,1,0,0,3,28.0
HCL0651,0,1,1,1,0,3,14.0
SCP0130,0,1,0,0,0,1,8.0
CMW0783,0,1,1,0,0,2,12.0
RKF0164,0,0,1,1,0,2,6.0
DOL0332,1,1,1,0,0,3,28.0
RSC0089,0,1,1,0,0,2,12.0
CCM0136,0,1,0,0,0,1,8.0
NCH0179,0,1,1,0,0,2,12.0
NBH0256,0,1,1,0,0,2,12.0
ORG0339,1,1,1,0,0,3,28.0
FRR0832,0,1,0,0,0,1,8.0
MSD0939,0,1,1,1,0,3,14.0
OQH0183,1,1,1,0,0,3,28.0
BSH0445,0,1,1,0,0,2,12.0
KSP0357,1,1,1,1,0,4,30.0
NGO0690,1,1,1,0,0,3,28.0
VCC0396,1,1,1,0,0,3,28.0
WDD0366,0,1,1,1,0,3,14.0
KPP0452,1,1,0,1,0,3,26.0
RTO0313,0,1,1,0,0,2,12.0
ABM0845,0,1,0,0,0,1,8.0
VIA0063,0,1,1,1,0,3,14.0
BIH0745,1,1,1,0,0,3,28.0
CCW0031,0,1,1,0,0,2,12.0
IYB0918,0,1,1,1,0,3,14.0
ORM0669,0,1,1,0,0,2,12.0
MJB0588,0,1,0,0,0,1,8.0
ALB0892,0,1,1,0,0,2,12.0
LIM0674,0,1,1,0,0,2,12.0
LHN0151,0,0,1,0,0,1,4.0
WTR0563,0,1,1,0,0,2,12.0
MKS0204,0,0,1,1,0,2,6.0
AAW0353,0,1,0,0,0,1,8.0
WJD0576,0,1,0,0,0,1,8.0
ILH0958,0,1,0,0,0,1,8.0
TLK0993,1,0,1,0,0,2,20.0
WAB0143,0,0,1,0,0,1,4.0
RAG0275,0,1,1,1,0,3,14.0
LQC0479,0,1,1,0,0,2,12.0
KWC0004,1,0,1,1,0,3,22.0
CJK0200,0,0,1,0,0,1,4.0
FEB0306,0,1,0,0,0,1,8.0
IJM0776,0,1,1,0,0,2,12.0
NKH0807,1,1,1,0,0,3,28.0
JMC0925,0,1,1,1,0,3,14.0
SBH0537,0,1,1,1,0,3,14.0
