user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-C,Team_CPB-I-median,Team_CPB-O-median,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,Leader_CPB-I,Leader_CPB-O
NFP2441,34.0,39.0,38.0,36.0,21.0,-15.004,-19.1903368421,10,10,-14.52,-18.988,-15.3290048309,-19.4859207729,-16.94,-19.206,-8.712,-23.4568,
ADR1517,36.0,39.0,13.0,19.0,27.0,-15.9016,-20.1751490909,29,21,-17.424,-19.8736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
MWB4000,27.0,14.0,44.0,22.0,34.0,-14.1729811321,-19.7946264151,24,26,-15.488,-21.3632,-15.0351142857,-20.0305742857,-16.456,-20.6184,-12.1,-22.41,
MLS2856,35.0,49.0,22.0,45.0,28.0,-14.5035932203,-20.181640678,27,30,-14.52,-21.068,-15.0351142857,-20.0305742857,-16.456,-20.6184,-11.132,-23.6748,
BTR2026,15.0,15.0,41.0,39.0,27.0,-14.9275789474,-21.9586105263,18,26,-15.972,-23.0708,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.876,-10.9564,
ZCT1009,35.0,39.0,32.0,14.0,31.0,-14.7243555556,-20.0672088889,24,23,-15.004,-19.1356,-15.1798119658,-19.8936598291,-16.456,-20.6184,-21.296,-32.4944,
BDW1459,14.0,15.0,21.0,23.0,28.0,-14.6006666667,-18.6746,33,29,-16.456,-17.4984,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.292,-16.4788,
FAJ3101,40.0,50.0,43.0,18.0,28.0,-15.7534193548,-19.5654322581,38,23,-17.424,-17.7936,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-24.6944,
CLR1239,46.0,44.0,38.0,44.0,23.0,-14.685,-20.2083181818,21,21,-15.73,-21.177,-15.1798119658,-19.8936598291,-16.456,-20.6184,-10.648,-13.1272,
LOP1708,20.0,23.0,38.0,42.0,33.0,-14.9139534884,-21.1397674419,16,17,-16.456,-22.6984,-15.1798119658,-19.8936598291,-16.456,-20.6184,-21.78,-17.562,
GKK2422,42.0,39.0,47.0,10.0,37.0,-15.0412307692,-19.7869538462,5,6,-15.972,-22.5508,-15.3290048309,-19.4859207729,-16.94,-19.206,-18.392,-24.3288,
MYB3817,21.0,36.0,40.0,40.0,26.0,-14.416852459,-19.2890032787,29,32,-14.52,-20.028,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.94,-30.646,
JBO2839,40.0,47.0,21.0,19.0,28.0,-15.3065,-18.64285,22,18,-17.424,-18.3136,-15.0351142857,-20.0305742857,-16.456,-20.6184,-4.84,-14.476,
JTC0941,42.0,26.0,41.0,45.0,26.0,-15.2975737705,-18.5005377049,38,28,-17.424,-17.2736,-14.8882043011,-19.4707172043,-16.456,-19.0584,-8.712,-10.4568,
IKA2925,49.0,15.0,16.0,16.0,34.0,-13.9956666667,-20.5614333333,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.78,-18.082,
JSN1905,38.0,37.0,21.0,36.0,25.0,-16.4444761905,-20.2929809524,20,14,-17.424,-20.9136,-14.9578338462,-19.7247212308,-15.972,-19.9508,-20.328,-29.0792,
JRL2365,33.0,22.0,23.0,24.0,38.0,-15.7260327869,-19.7138229508,34,22,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-7.26,-12.094,
GJB0850,37.0,42.0,38.0,43.0,32.0,-14.0996842105,-20.2145578947,19,19,-14.036,-20.1404,-15.0351142857,-20.0305742857,-16.456,-20.6184,-16.94,-19.206,
LMD2804,17.0,42.0,34.0,42.0,35.0,-14.5610169492,-20.2255932203,27,30,-14.52,-21.068,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-18.904,
KMB3003,39.0,43.0,14.0,38.0,32.0,-15.4449777778,-20.5874133333,20,19,-17.424,-20.9136,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.68,-27.392,
LWV1525,47.0,40.0,34.0,37.0,21.0,-15.8928,-20.0022836364,30,21,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
RBB3867,17.0,28.0,19.0,50.0,25.0,-14.0771914894,-19.638493617,25,25,-11.132,-17.9548,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.78,-14.962,
ARF0575,48.0,13.0,43.0,20.0,30.0,-16.0284666667,-20.9906866667,26,21,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-31.6792,
WSC2981,47.0,24.0,17.0,23.0,26.0,-13.9230666667,-20.4786266667,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-25.748,
HKT1778,10.0,35.0,25.0,45.0,24.0,-16.4675238095,-20.1885809524,20,14,-17.666,-20.9874,-14.9578338462,-19.7247212308,-15.972,-19.9508,-20.812,-26.6268,
MAS3218,39.0,14.0,37.0,44.0,23.0,-15.7568888889,-20.6132,20,18,-17.908,-21.0612,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-17.4916,
MJG2304,46.0,39.0,20.0,31.0,31.0,-15.591147541,-19.6130163934,35,23,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-20.812,-27.1468,
CCH1508,25.0,30.0,45.0,34.0,31.0,-15.9808,-20.0574836364,30,20,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
HDN2609,37.0,30.0,19.0,43.0,31.0,-13.6240851064,-18.8475489362,27,28,-11.616,-16.5424,-14.9218758837,-19.382605813,-15.972,-18.9108,-11.132,-24.7148,
FCM3926,16.0,27.0,43.0,26.0,31.0,-13.9615384615,-19.2576923077,19,20,-14.52,-20.028,-15.0351142857,-20.0305742857,-16.456,-20.6184,-7.744,-10.1616,
DMR0336,19.0,25.0,45.0,32.0,28.0,-14.3162105263,-20.4311157895,19,18,-16.214,-21.3246,-15.0351142857,-20.0305742857,-16.456,-20.6184,-5.324,-23.4636,
XAB0936,42.0,22.0,21.0,21.0,32.0,-15.3293114754,-18.7148065574,37,28,-17.424,-17.2736,-14.8882043011,-19.4707172043,-16.456,-19.0584,-8.712,-10.4568,
LCB2041,37.0,41.0,42.0,20.0,30.0,-16.3983809524,-20.4770190476,19,14,-17.424,-21.1736,-14.9578338462,-19.7247212308,-15.972,-19.9508,-22.264,-14.5896,
ZJB0552,41.0,24.0,43.0,14.0,31.0,-14.9824888889,-18.9325955556,25,21,-15.488,-16.1632,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.164,-26.4996,
AKP3573,10.0,28.0,44.0,38.0,30.0,-13.7324745763,-18.4393627119,35,36,-13.552,-17.1328,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.712,-18.2568,
JRA0522,10.0,20.0,24.0,13.0,29.0,-14.4644590164,-19.1500786885,35,32,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-7.26,-23.534,
RLS1738,21.0,15.0,37.0,19.0,28.0,-15.7815737705,-19.7733836066,34,22,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-18.876,-17.1964,
CWK2870,39.0,41.0,20.0,15.0,31.0,-14.569220339,-20.4660610169,26,30,-14.52,-21.588,-15.0351142857,-20.0305742857,-16.456,-20.6184,-11.132,-23.6748,
BRH1107,19.0,26.0,18.0,22.0,33.0,-14.883,-20.5287,20,20,-16.456,-22.4384,-15.1798119658,-19.8936598291,-16.456,-20.6184,-19.36,-19.424,
TEF3555,39.0,48.0,39.0,33.0,28.0,-13.442,-18.5528909091,26,27,-11.374,-16.2086,-14.9578338462,-19.7247212308,-15.972,-19.9508,-8.712,-14.6168,
GEH0420,47.0,37.0,12.0,44.0,32.0,-15.210295082,-18.4824459016,38,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
VCV2521,40.0,10.0,44.0,40.0,30.0,-15.2381935484,-18.0999225806,39,28,-16.94,-17.386,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.748,-18.8972,
LJR0253,44.0,18.0,41.0,41.0,27.0,-14.4803278689,-18.9162295082,36,32,-14.52,-16.908,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.196,-10.0844,
RPH2326,48.0,42.0,13.0,14.0,33.0,-14.5038666667,-19.08708,35,31,-14.762,-16.7218,-15.4025108696,-20.250498913,-16.94,-20.766,-10.164,-16.6196,
FJO1828,38.0,31.0,16.0,22.0,24.0,-14.6229787234,-19.7938723404,25,26,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.748,-29.2972,
JIG1936,27.0,22.0,26.0,25.0,30.0,-15.8321777778,-20.01216,19,18,-17.424,-20.9136,-15.1798119658,-19.8936598291,-16.456,-20.6184,-14.52,-20.028,
OAS0991,39.0,21.0,14.0,19.0,30.0,-14.9179555556,-20.0684711111,24,22,-15.972,-19.4308,-15.1798119658,-19.8936598291,-16.456,-20.6184,-21.78,-17.562,
CRT2273,34.0,38.0,45.0,18.0,35.0,-14.5361333333,-19.0622533333,35,31,-14.762,-16.7218,-15.4025108696,-20.250498913,-16.94,-20.766,-8.712,-25.0168,
KGR2815,21.0,10.0,44.0,42.0,37.0,-14.8235254237,-20.3056474576,27,29,-15.972,-21.5108,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-18.904,
ACH1910,15.0,13.0,18.0,21.0,27.0,-16.721047619,-20.5630380952,19,13,-17.666,-21.2474,-14.9578338462,-19.7247212308,-15.972,-19.9508,-20.328,-29.0792,
WDS2197,41.0,23.0,15.0,42.0,34.0,-14.8184666667,-20.4916866667,28,32,-14.762,-20.8818,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
TJM0328,31.0,38.0,44.0,17.0,35.0,0,0,0,0,0,0,-15.7991428571,-19.0809428571,-17.908,-18.4612,-19.844,-26.3316,
JJS2973,17.0,21.0,21.0,40.0,35.0,-13.9472666667,-20.3386733333,25,31,-13.552,-22.3328,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-25.748,
UDW0487,27.0,24.0,18.0,16.0,26.0,-15.9299130435,-19.0223130435,26,18,-17.182,-17.7198,-15.1798119658,-19.8936598291,-16.456,-20.6184,-21.296,-28.3344,
SHB2106,44.0,16.0,38.0,25.0,27.0,-15.628516129,-19.5105677419,17,12,-16.94,-18.686,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-27.2944,
PCT1234,46.0,32.0,34.0,22.0,24.0,-14.817,-20.5085727273,20,21,-16.456,-22.4384,-15.1798119658,-19.8936598291,-16.456,-20.6184,-10.648,-13.1272,
KAV2926,34.0,24.0,28.0,36.0,35.0,-13.9230666667,-20.36596,25,31,-13.552,-22.3328,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.78,-18.082,
ADS0763,26.0,18.0,22.0,38.0,35.0,-14.7243555556,-19.57032,22,21,-15.488,-21.3632,-15.1798119658,-19.8936598291,-16.456,-20.6184,-17.908,-16.9012,
SKG1731,26.0,19.0,43.0,18.0,23.0,-16.692097561,-19.3967414634,24,14,-18.392,-17.5688,-15.0351142857,-20.0305742857,-16.456,-20.6184,-20.812,-18.3068,
ISJ1479,39.0,44.0,12.0,39.0,27.0,-14.3395254237,-19.1268610169,32,28,-16.456,-18.5384,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-12.4664,
CAG2236,18.0,27.0,44.0,37.0,35.0,-14.7862,-20.52518,28,32,-14.762,-20.8818,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-21.504,
YKW3832,33.0,27.0,45.0,41.0,28.0,-16.0757142857,-20.2424285714,7,5,-19.118,-21.1702,-15.3290048309,-19.4859207729,-16.94,-19.206,-23.232,-33.0848,
AVC2328,32.0,38.0,38.0,24.0,27.0,-14.5361333333,-19.0102533333,35,31,-14.762,-16.2018,-15.4025108696,-20.250498913,-16.94,-20.766,-10.164,-16.6196,
CSP2186,36.0,32.0,21.0,40.0,22.0,-14.7458666667,-20.48688,28,33,-14.036,-20.6604,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
DBG0477,48.0,41.0,50.0,18.0,36.0,-14.2359130435,-19.9978869565,21,26,-14.52,-21.848,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.876,-15.1164,
